V101_codierer,V102_gruppe,Fallzahl,V103_teilnehmer,V104_start,V105_end,V201_adressat,V202_bezug,V203_thema,V204_bewertung_merkel,V205_bewertung_steinbrueck,V206_persuasion,V300_transkript,V301_primaermuster,V302_sekundaermuster,V401_zustimmung,V402_ablehnung,Dauer,Gewichtungsfaktor,ValideKH
4,1,1,2,0:00:21,0:00:21,80,32,99,9,3,2,"Ich finde, der grinst immer so überheblich.",60,99,0,0,1,1.042,1
4,1,2,1,0:00:22,0:00:22,80,32,99,9,3,3,Ja. (Macht Grinsen nach),60,70,0,1,1,1.042,1
4,1,3,1,0:01:10,0:01:11,80,31,37,9,2,3,Ja das wär wirklich schön.,60,99,0,0,1,1.042,1
4,1,4,2,0:01:32,0:01:38,80,31,39,9,2,2,Das hatten wir aber auch nicht bei der letzten Hmm. (.) großen Koalition.,60,30,0,0,6,1.042,1
4,1,5,1,0:01:40,0:01:43,80,31,39,9,2,2,"Wie jetzt, das Bildungssystem war noch nie // mau, ja.",60,30,0,0,3,1.042,1
4,1,6,2,0:01:44,0:01:46,80,31,39,9,2,2,// Das war schon immer verbesserungsbedürftig.,60,30,0,0,2,1.042,1
4,1,7,1,0:01:53,0:01:53,99,31,11,9,9,3,(lacht),20,99,0,0,1,1.042,1
4,1,22,1,0:02:58,0:02:58,99,61,12,9,9,3,(lacht),20,99,0,0,1,1.042,1
4,1,23,1,0:03:02,0:03:02,80,21,12,2,9,3,"""Kann.""",60,99,0,0,1,1.042,1
4,1,24,2,0:03:05,0:03:06,80,21,12,3,9,2,"Das ist schon mal eine schwache Aussage, ne?",60,99,0,0,1,1.042,1
4,1,25,1,0:03:17,0:03:18,80,21,37,2,9,3,Vor vier Jahren war sie doch unten.,30,99,0,0,1,1.042,1
4,1,26,2,0:03:18,0:03:24,80,21,37,3,9,2,"Ja, das liegt aber nicht an ihr, dass es so viele gibt, sondern an den Regierungen von davor.",60,99,0,0,6,1.042,1
4,1,27,2,0:03:41,0:03:44,80,22,99,9,9,3,"Guck mal, die hat eine schwarz rot goldene Kette um (lächelt). (..) Willst du die auch haben?",40,70,0,0,3,1.042,1
4,1,28,1,0:03:45,0:03:45,80,22,99,9,9,3,Nein.,70,99,0,0,1,1.042,1
4,1,29,2,0:03:49,0:03:51,80,22,99,9,9,3,"Obwohl, die sieht gar nicht so schlecht aus.",70,60,0,0,2,1.042,1
4,1,30,1,0:03:53,0:03:54,80,22,99,9,9,3,Meinst du sie oder die Kette?,70,99,0,0,1,1.042,1
4,1,31,2,0:03:54,0:03:54,80,22,99,9,9,3,Die Kette.,70,99,0,0,1,1.042,1
4,1,32,2,0:03:59,0:04:01,80,22,99,9,9,3,"Als Fanutensil, fürs Länderspiel.",70,99,0,0,2,1.042,1
4,1,33,1,0:04:02,0:04:04,80,22,99,9,9,3,Dafür hat sie das bestimmt auch.,70,99,0,0,2,1.042,1
4,1,34,2,0:04:37,0:04:39,80,21,12,2,2,2,"Die haben doch vier Jahre gut zusammengearbeitet, oder?",60,30,0,0,2,1.042,1
4,1,35,1,0:04:42,0:04:43,80,21,12,3,3,2,Aber da bewegten sie ja auch nichts,60,99,0,0,1,1.042,1
4,1,36,2,0:04:45,0:04:46,80,21,12,9,9,3,In der großen Koalition.,30,99,0,0,1,1.042,1
4,1,37,1,0:04:46,0:04:47,80,21,12,3,3,2,"Sag ich ja, aber da bewegten sie ja auch nichts.",60,99,0,0,1,1.042,1
4,1,38,2,0:04:48,0:04:49,80,21,12,2,2,2,Na immerhin aber mehr als danach.,60,99,0,0,1,1.042,1
4,1,39,1,0:05:25,0:05:25,99,71,12,9,9,3,(lacht),20,99,0,0,1,1.042,1
4,1,40,2,0:05:29,0:05:30,80,71,12,9,9,3,Auf jeden Fall ein bisschen still zwischen den beiden.,30,99,0,0,1,1.042,1
4,1,41,2,0:06:33,0:06:34,80,31,37,9,9,3,Von einem Praktikum ins andere.,30,99,0,0,1,1.042,1
4,1,42,1,0:06:34,0:06:35,80,31,37,9,9,3,Das ist ja ein Werkvertrag.,30,99,0,0,1,1.042,1
4,1,43,2,0:06:36,0:06:37,80,31,37,9,9,3,"Hmm, nee.",30,99,0,0,1,1.042,1
4,1,44,1,0:06:38,0:06:39,80,31,37,9,9,3,"Na doch, das ist aber im Prinzip/",30,99,0,0,1,1.042,1
